benchmark,policy,hardware_bits,speedup
dealII,adaptive,1984,1.0104245
dealII,adaptive,2368,1.010878
dealII,adaptive,2752,1.0102995
dealII,adaptive,3136,1.0110505
dealII,nextline,1984,1.015401
dealII,nextline,2368,1.0156045
dealII,nextline,2752,1.015552
dealII,nextline,3136,1.0167875
dealII,off,1984,1.0
dealII,off,2368,1.0
dealII,off,2752,1.0
dealII,off,3136,1.0
hmmer,adaptive,1984,1.00045
hmmer,adaptive,2368,1.000476
hmmer,adaptive,2752,1.0006785
hmmer,adaptive,3136,1.0001255
hmmer,nextline,1984,1.0054275000000001
hmmer,nextline,2368,1.0064205
hmmer,nextline,2752,1.0081954999999998
hmmer,nextline,3136,1.00304
hmmer,off,1984,1.0
hmmer,off,2368,1.0
hmmer,off,2752,1.0
hmmer,off,3136,1.0
libquantum,adaptive,1984,3.8756709999999996
libquantum,adaptive,2368,3.8849285
libquantum,adaptive,2752,3.8773954999999996
libquantum,adaptive,3136,3.8851495000000003
libquantum,nextline,1984,5.8319635
libquantum,nextline,2368,5.831905
libquantum,nextline,2752,5.824419000000001
libquantum,nextline,3136,5.8319955
libquantum,off,1984,1.0
libquantum,off,2368,1.0
libquantum,off,2752,1.0
libquantum,off,3136,1.0
